"","Sample tree ID","Species","Year","Site","Longitude","Latitude","Elevation (m)","Aspect (degrees)","Terrain slope (%)","Stem diameter (cm)","Age (years)","Ring width (mm)","Date collected (month/day/year)"
"13596","SIF0610131440ES","Picea engelmannii",2008,"San Isabel National Forest ",-105.051332,37.88246825,3294,1,68,20.41,187,0.256,"6/10/13"
"13597","SIF0610131440ES","Picea engelmannii",2009,"San Isabel National Forest ",-105.051332,37.88246825,3294,1,68,20.46,188,0.428,"6/10/13"
"13598","SIF0610131440ES","Picea engelmannii",2010,"San Isabel National Forest ",-105.051332,37.88246825,3294,1,68,20.54,189,0.382,"6/10/13"
"13599","SIF0610131440ES","Picea engelmannii",2011,"San Isabel National Forest ",-105.051332,37.88246825,3294,1,68,20.62,190,0.16,"6/10/13"
"13600","SIF0610131443ES","Picea engelmannii",1992,"San Isabel National Forest ",-105.063332,37.89895632,3287,10,26,28.88,88,1.377,"6/10/13"
"13601","SIF0610131443ES","Picea engelmannii",1993,"San Isabel National Forest ",-105.063332,37.89895632,3287,10,26,29.15,89,1.626,"6/10/13"
"13602","SIF0610131443ES","Picea engelmannii",1994,"San Isabel National Forest ",-105.063332,37.89895632,3287,10,26,29.48,90,1.347,"6/10/13"
"13603","SIF0610131443ES","Picea engelmannii",1995,"San Isabel National Forest ",-105.063332,37.89895632,3287,10,26,29.75,91,1.294,"6/10/13"
"13604","SIF0610131443ES","Picea engelmannii",1996,"San Isabel National Forest ",-105.063332,37.89895632,3287,10,26,30.01,92,1.407,"6/10/13"
"13605","SIF0610131443ES","Picea engelmannii",1997,"San Isabel National Forest ",-105.063332,37.89895632,3287,10,26,30.29,93,1.321,"6/10/13"
"13606","SIF0610131443ES","Picea engelmannii",1998,"San Isabel National Forest ",-105.063332,37.89895632,3287,10,26,30.55,94,1.649,"6/10/13"
"13607","SIF0610131443ES","Picea engelmannii",1999,"San Isabel National Forest ",-105.063332,37.89895632,3287,10,26,30.88,95,1.56,"6/10/13"
"13608","SIF0610131443ES","Picea engelmannii",2000,"San Isabel National Forest ",-105.063332,37.89895632,3287,10,26,31.19,96,1.911,"6/10/13"
"13609","SIF0610131443ES","Picea engelmannii",2001,"San Isabel National Forest ",-105.063332,37.89895632,3287,10,26,31.58,97,1.552,"6/10/13"
"13610","SIF0610131443ES","Picea engelmannii",2002,"San Isabel National Forest ",-105.063332,37.89895632,3287,10,26,31.89,98,0.542,"6/10/13"
"13611","SIF0610131443ES","Picea engelmannii",2003,"San Isabel National Forest ",-105.063332,37.89895632,3287,10,26,31.99,99,0.754,"6/10/13"
"13612","SIF0610131443ES","Picea engelmannii",2004,"San Isabel National Forest ",-105.063332,37.89895632,3287,10,26,32.15,100,0.902,"6/10/13"
"13613","SIF0610131443ES","Picea engelmannii",2005,"San Isabel National Forest ",-105.063332,37.89895632,3287,10,26,32.33,101,0.938,"6/10/13"
"13614","SIF0610131443ES","Picea engelmannii",2006,"San Isabel National Forest ",-105.063332,37.89895632,3287,10,26,32.51,102,1.006,"6/10/13"
"13615","SIF0610131443ES","Picea engelmannii",2007,"San Isabel National Forest ",-105.063332,37.89895632,3287,10,26,32.71,103,1.844,"6/10/13"
"13616","SIF0610131443ES","Picea engelmannii",2008,"San Isabel National Forest ",-105.063332,37.89895632,3287,10,26,33.08,104,1.491,"6/10/13"
"13617","SIF0610131443ES","Picea engelmannii",2009,"San Isabel National Forest ",-105.063332,37.89895632,3287,10,26,33.38,105,1.63,"6/10/13"
"13618","SIF0610131443ES","Picea engelmannii",2010,"San Isabel National Forest ",-105.063332,37.89895632,3287,10,26,33.71,106,1.403,"6/10/13"
"13619","SIF0610131443ES","Picea engelmannii",2011,"San Isabel National Forest ",-105.063332,37.89895632,3287,10,26,33.99,107,1.173,"6/10/13"
"13640","SIF0610131655ES","Picea engelmannii",1992,"San Isabel National Forest ",-105.0580688,37.90295181,3264,333,15,23.97,72,1.043,"6/10/13"
"13641","SIF0610131655ES","Picea engelmannii",1993,"San Isabel National Forest ",-105.0580688,37.90295181,3264,333,15,24.18,73,1.024,"6/10/13"
"13642","SIF0610131655ES","Picea engelmannii",1994,"San Isabel National Forest ",-105.0580688,37.90295181,3264,333,15,24.38,74,1.123,"6/10/13"
"13643","SIF0610131655ES","Picea engelmannii",1995,"San Isabel National Forest ",-105.0580688,37.90295181,3264,333,15,24.6,75,1.2,"6/10/13"
"13644","SIF0610131655ES","Picea engelmannii",1996,"San Isabel National Forest ",-105.0580688,37.90295181,3264,333,15,24.84,76,1.173,"6/10/13"
"13645","SIF0610131655ES","Picea engelmannii",1997,"San Isabel National Forest ",-105.0580688,37.90295181,3264,333,15,25.08,77,0.95,"6/10/13"
"13646","SIF0610131655ES","Picea engelmannii",1998,"San Isabel National Forest ",-105.0580688,37.90295181,3264,333,15,25.27,78,1.276,"6/10/13"
"13647","SIF0610131655ES","Picea engelmannii",1999,"San Isabel National Forest ",-105.0580688,37.90295181,3264,333,15,25.52,79,1.306,"6/10/13"
"13648","SIF0610131655ES","Picea engelmannii",2000,"San Isabel National Forest ",-105.0580688,37.90295181,3264,333,15,25.79,80,1.574,"6/10/13"
"13649","SIF0610131655ES","Picea engelmannii",2001,"San Isabel National Forest ",-105.0580688,37.90295181,3264,333,15,26.1,81,1.514,"6/10/13"
"13650","SIF0610131655ES","Picea engelmannii",2002,"San Isabel National Forest ",-105.0580688,37.90295181,3264,333,15,26.4,82,0.506,"6/10/13"
"13651","SIF0610131655ES","Picea engelmannii",2003,"San Isabel National Forest ",-105.0580688,37.90295181,3264,333,15,26.5,83,0.776,"6/10/13"
"13652","SIF0610131655ES","Picea engelmannii",2004,"San Isabel National Forest ",-105.0580688,37.90295181,3264,333,15,26.66,84,0.888,"6/10/13"
"13653","SIF0610131655ES","Picea engelmannii",2005,"San Isabel National Forest ",-105.0580688,37.90295181,3264,333,15,26.84,85,0.838,"6/10/13"
"13654","SIF0610131655ES","Picea engelmannii",2006,"San Isabel National Forest ",-105.0580688,37.90295181,3264,333,15,27,86,0.892,"6/10/13"
"13655","SIF0610131655ES","Picea engelmannii",2007,"San Isabel National Forest ",-105.0580688,37.90295181,3264,333,15,27.18,87,1.236,"6/10/13"
"13656","SIF0610131655ES","Picea engelmannii",2008,"San Isabel National Forest ",-105.0580688,37.90295181,3264,333,15,27.43,88,1.34,"6/10/13"
"13657","SIF0610131655ES","Picea engelmannii",2009,"San Isabel National Forest ",-105.0580688,37.90295181,3264,333,15,27.7,89,1.389,"6/10/13"
"13658","SIF0610131655ES","Picea engelmannii",2010,"San Isabel National Forest ",-105.0580688,37.90295181,3264,333,15,27.98,90,1.492,"6/10/13"
"13659","SIF0610131655ES","Picea engelmannii",2011,"San Isabel National Forest ",-105.0580688,37.90295181,3264,333,15,28.28,91,1.014,"6/10/13"
"13660","SIF0610131727ES","Picea engelmannii",1992,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,29.91,93,1.584,"6/10/13"
"13661","SIF0610131727ES","Picea engelmannii",1992,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,29.91,93,1.584,"6/10/13"
"13662","SIF0610131727ES","Picea engelmannii",1993,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,30.23,94,1.484,"6/10/13"
"13663","SIF0610131727ES","Picea engelmannii",1993,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,30.23,94,1.484,"6/10/13"
"13664","SIF0610131727ES","Picea engelmannii",1994,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,30.52,95,1.323,"6/10/13"
"13665","SIF0610131727ES","Picea engelmannii",1994,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,30.52,95,1.323,"6/10/13"
"13666","SIF0610131727ES","Picea engelmannii",1995,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,30.79,96,1.794,"6/10/13"
"13667","SIF0610131727ES","Picea engelmannii",1995,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,30.79,96,1.794,"6/10/13"
"13668","SIF0610131727ES","Picea engelmannii",1996,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,31.15,97,1.688,"6/10/13"
"13669","SIF0610131727ES","Picea engelmannii",1996,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,31.15,97,1.688,"6/10/13"
"13670","SIF0610131727ES","Picea engelmannii",1997,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,31.48,98,1.562,"6/10/13"
"13671","SIF0610131727ES","Picea engelmannii",1997,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,31.48,98,1.562,"6/10/13"
"13672","SIF0610131727ES","Picea engelmannii",1998,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,31.8,99,1.593,"6/10/13"
"13673","SIF0610131727ES","Picea engelmannii",1998,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,31.8,99,1.593,"6/10/13"
"13674","SIF0610131727ES","Picea engelmannii",1999,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,32.11,100,1.354,"6/10/13"
"13675","SIF0610131727ES","Picea engelmannii",1999,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,32.11,100,1.354,"6/10/13"
"13676","SIF0610131727ES","Picea engelmannii",2000,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,32.38,101,1.458,"6/10/13"
"13677","SIF0610131727ES","Picea engelmannii",2000,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,32.38,101,1.458,"6/10/13"
"13678","SIF0610131727ES","Picea engelmannii",2001,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,32.68,102,1.242,"6/10/13"
"13679","SIF0610131727ES","Picea engelmannii",2001,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,32.68,102,1.242,"6/10/13"
"13680","SIF0610131727ES","Picea engelmannii",2002,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,32.92,103,0.242,"6/10/13"
"13681","SIF0610131727ES","Picea engelmannii",2002,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,32.92,103,0.242,"6/10/13"
"13682","SIF0610131727ES","Picea engelmannii",2003,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,32.97,104,0.557,"6/10/13"
"13683","SIF0610131727ES","Picea engelmannii",2003,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,32.97,104,0.557,"6/10/13"
"13684","SIF0610131727ES","Picea engelmannii",2004,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,33.08,105,1.044,"6/10/13"
"13685","SIF0610131727ES","Picea engelmannii",2004,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,33.08,105,1.044,"6/10/13"
"13686","SIF0610131727ES","Picea engelmannii",2005,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,33.29,106,1.135,"6/10/13"
"13687","SIF0610131727ES","Picea engelmannii",2005,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,33.29,106,1.135,"6/10/13"
"13688","SIF0610131727ES","Picea engelmannii",2006,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,33.52,107,0.518,"6/10/13"
"13689","SIF0610131727ES","Picea engelmannii",2006,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,33.52,107,0.518,"6/10/13"
"13690","SIF0610131727ES","Picea engelmannii",2007,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,33.62,108,1.334,"6/10/13"
"13691","SIF0610131727ES","Picea engelmannii",2007,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,33.62,108,1.334,"6/10/13"
"13692","SIF0610131727ES","Picea engelmannii",2008,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,33.89,109,1.242,"6/10/13"
"13693","SIF0610131727ES","Picea engelmannii",2008,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,33.89,109,1.242,"6/10/13"
"13694","SIF0610131727ES","Picea engelmannii",2009,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,34.14,110,1.459,"6/10/13"
"13695","SIF0610131727ES","Picea engelmannii",2009,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,34.14,110,1.459,"6/10/13"
"13696","SIF0610131727ES","Picea engelmannii",2010,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,34.43,111,1.325,"6/10/13"
"13697","SIF0610131727ES","Picea engelmannii",2010,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,34.43,111,1.325,"6/10/13"
"13698","SIF0610131727ES","Picea engelmannii",2011,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,34.7,112,0.8,"6/10/13"
"13699","SIF0610131727ES","Picea engelmannii",2011,"San Isabel National Forest ",-105.042748,37.88523869,3271,216,30,34.7,112,0.8,"6/10/13"
"13700","SIF0610138047ES","Picea engelmannii",1992,"San Isabel National Forest ",-105.0587702,37.89804836,3317,323,41,20.93,134,0.596,"6/10/13"
"13701","SIF0610138047ES","Picea engelmannii",1993,"San Isabel National Forest ",-105.0587702,37.89804836,3317,323,41,21.05,135,0.568,"6/10/13"
"13702","SIF0610138047ES","Picea engelmannii",1994,"San Isabel National Forest ",-105.0587702,37.89804836,3317,323,41,21.16,136,0.661,"6/10/13"
"13703","SIF0610138047ES","Picea engelmannii",1995,"San Isabel National Forest ",-105.0587702,37.89804836,3317,323,41,21.29,137,0.526,"6/10/13"
"13704","SIF0610138047ES","Picea engelmannii",1996,"San Isabel National Forest ",-105.0587702,37.89804836,3317,323,41,21.4,138,0.634,"6/10/13"
"13705","SIF0610138047ES","Picea engelmannii",1997,"San Isabel National Forest ",-105.0587702,37.89804836,3317,323,41,21.52,139,0.532,"6/10/13"
"13706","SIF0610138047ES","Picea engelmannii",1998,"San Isabel National Forest ",-105.0587702,37.89804836,3317,323,41,21.63,140,0.726,"6/10/13"
"13707","SIF0610138047ES","Picea engelmannii",1999,"San Isabel National Forest ",-105.0587702,37.89804836,3317,323,41,21.77,141,0.635,"6/10/13"
"13708","SIF0610138047ES","Picea engelmannii",2000,"San Isabel National Forest ",-105.0587702,37.89804836,3317,323,41,21.9,142,0.619,"6/10/13"
"13709","SIF0610138047ES","Picea engelmannii",2001,"San Isabel National Forest ",-105.0587702,37.89804836,3317,323,41,22.03,143,0.461,"6/10/13"
"13710","SIF0610138047ES","Picea engelmannii",2002,"San Isabel National Forest ",-105.0587702,37.89804836,3317,323,41,22.12,144,0.105,"6/10/13"
"13711","SIF0610138047ES","Picea engelmannii",2003,"San Isabel National Forest ",-105.0587702,37.89804836,3317,323,41,22.14,145,0.37,"6/10/13"
"13712","SIF0610138047ES","Picea engelmannii",2004,"San Isabel National Forest ",-105.0587702,37.89804836,3317,323,41,22.21,146,0.431,"6/10/13"
"13713","SIF0610138047ES","Picea engelmannii",2005,"San Isabel National Forest ",-105.0587702,37.89804836,3317,323,41,22.3,147,0.405,"6/10/13"
"13714","SIF0610138047ES","Picea engelmannii",2006,"San Isabel National Forest ",-105.0587702,37.89804836,3317,323,41,22.38,148,0.204,"6/10/13"
"13715","SIF0610138047ES","Picea engelmannii",2007,"San Isabel National Forest ",-105.0587702,37.89804836,3317,323,41,22.42,149,0.396,"6/10/13"
"13716","SIF0610138047ES","Picea engelmannii",2008,"San Isabel National Forest ",-105.0587702,37.89804836,3317,323,41,22.5,150,0.418,"6/10/13"
"13717","SIF0610138047ES","Picea engelmannii",2009,"San Isabel National Forest ",-105.0587702,37.89804836,3317,323,41,22.58,151,0.493,"6/10/13"
"13718","SIF0610138047ES","Picea engelmannii",2010,"San Isabel National Forest ",-105.0587702,37.89804836,3317,323,41,22.68,152,0.412,"6/10/13"
"13719","SIF0610138047ES","Picea engelmannii",2011,"San Isabel National Forest ",-105.0587702,37.89804836,3317,323,41,22.76,153,0.268,"6/10/13"
"13720","SIF0611130832ES","Picea engelmannii",1992,"San Isabel National Forest ",-105.0309317,37.88380931,3472,167,30,29.79,52,1.688,"6/11/13"
"13721","SIF0611130832ES","Picea engelmannii",1993,"San Isabel National Forest ",-105.0309317,37.88380931,3472,167,30,30.13,53,2.308,"6/11/13"
"13722","SIF0611130832ES","Picea engelmannii",1994,"San Isabel National Forest ",-105.0309317,37.88380931,3472,167,30,30.59,54,2.106,"6/11/13"
"13723","SIF0611130832ES","Picea engelmannii",1995,"San Isabel National Forest ",-105.0309317,37.88380931,3472,167,30,31.01,55,2.149,"6/11/13"
"13724","SIF0611130832ES","Picea engelmannii",1996,"San Isabel National Forest ",-105.0309317,37.88380931,3472,167,30,31.44,56,1.994,"6/11/13"
"13725","SIF0611130832ES","Picea engelmannii",1997,"San Isabel National Forest ",-105.0309317,37.88380931,3472,167,30,31.84,57,2.063,"6/11/13"
"13726","SIF0611130832ES","Picea engelmannii",1998,"San Isabel National Forest ",-105.0309317,37.88380931,3472,167,30,32.26,58,2.229,"6/11/13"
"13727","SIF0611130832ES","Picea engelmannii",1999,"San Isabel National Forest ",-105.0309317,37.88380931,3472,167,30,32.7,59,1.925,"6/11/13"
"13728","SIF0611130832ES","Picea engelmannii",2000,"San Isabel National Forest ",-105.0309317,37.88380931,3472,167,30,33.09,60,2.178,"6/11/13"
"13729","SIF0611130832ES","Picea engelmannii",2001,"San Isabel National Forest ",-105.0309317,37.88380931,3472,167,30,33.52,61,1.874,"6/11/13"
"13730","SIF0611130832ES","Picea engelmannii",2002,"San Isabel National Forest ",-105.0309317,37.88380931,3472,167,30,33.9,62,0.372,"6/11/13"
"13731","SIF0611130832ES","Picea engelmannii",2003,"San Isabel National Forest ",-105.0309317,37.88380931,3472,167,30,33.97,63,1.189,"6/11/13"
"13732","SIF0611130832ES","Picea engelmannii",2004,"San Isabel National Forest ",-105.0309317,37.88380931,3472,167,30,34.21,64,1.286,"6/11/13"
"13733","SIF0611130832ES","Picea engelmannii",2005,"San Isabel National Forest ",-105.0309317,37.88380931,3472,167,30,34.47,65,1.236,"6/11/13"
"13734","SIF0611130832ES","Picea engelmannii",2006,"San Isabel National Forest ",-105.0309317,37.88380931,3472,167,30,34.71,66,0.772,"6/11/13"
"13735","SIF0611130832ES","Picea engelmannii",2007,"San Isabel National Forest ",-105.0309317,37.88380931,3472,167,30,34.87,67,1.491,"6/11/13"
"13736","SIF0611130832ES","Picea engelmannii",2008,"San Isabel National Forest ",-105.0309317,37.88380931,3472,167,30,35.17,68,1.738,"6/11/13"
"13737","SIF0611130832ES","Picea engelmannii",2009,"San Isabel National Forest ",-105.0309317,37.88380931,3472,167,30,35.51,69,1.688,"6/11/13"
"13738","SIF0611130832ES","Picea engelmannii",2010,"San Isabel National Forest ",-105.0309317,37.88380931,3472,167,30,35.85,70,1.808,"6/11/13"
"13739","SIF0611130832ES","Picea engelmannii",2011,"San Isabel National Forest ",-105.0309317,37.88380931,3472,167,30,36.21,71,1.755,"6/11/13"
"13740","SIF0611130855ES","Picea engelmannii",1992,"San Isabel National Forest ",-105.0234964,37.8900661,3618,64,25,4.88,23,1.506,"6/11/13"
"13741","SIF0611130855ES","Picea engelmannii",1993,"San Isabel National Forest ",-105.0234964,37.8900661,3618,64,25,5.18,24,1.738,"6/11/13"
"13742","SIF0611130855ES","Picea engelmannii",1994,"San Isabel National Forest ",-105.0234964,37.8900661,3618,64,25,5.53,25,1.807,"6/11/13"
"13743","SIF0611130855ES","Picea engelmannii",1995,"San Isabel National Forest ",-105.0234964,37.8900661,3618,64,25,5.89,26,1.845,"6/11/13"
"13744","SIF0611130855ES","Picea engelmannii",1996,"San Isabel National Forest ",-105.0234964,37.8900661,3618,64,25,6.26,27,1.861,"6/11/13"
"13745","SIF0611130855ES","Picea engelmannii",1997,"San Isabel National Forest ",-105.0234964,37.8900661,3618,64,25,6.63,28,1.854,"6/11/13"
"13746","SIF0611130855ES","Picea engelmannii",1998,"San Isabel National Forest ",-105.0234964,37.8900661,3618,64,25,7,29,2.221,"6/11/13"
"13747","SIF0611130855ES","Picea engelmannii",1999,"San Isabel National Forest ",-105.0234964,37.8900661,3618,64,25,7.45,30,1.994,"6/11/13"
"13748","SIF0611130855ES","Picea engelmannii",2000,"San Isabel National Forest ",-105.0234964,37.8900661,3618,64,25,7.85,31,2.261,"6/11/13"
"13749","SIF0611130855ES","Picea engelmannii",2001,"San Isabel National Forest ",-105.0234964,37.8900661,3618,64,25,8.3,32,1.924,"6/11/13"
"13750","SIF0611130855ES","Picea engelmannii",2002,"San Isabel National Forest ",-105.0234964,37.8900661,3618,64,25,8.68,33,1.78,"6/11/13"
"13751","SIF0611130855ES","Picea engelmannii",2003,"San Isabel National Forest ",-105.0234964,37.8900661,3618,64,25,9.04,34,2.292,"6/11/13"
"13752","SIF0611130855ES","Picea engelmannii",2004,"San Isabel National Forest ",-105.0234964,37.8900661,3618,64,25,9.5,35,2.195,"6/11/13"
"13753","SIF0611130855ES","Picea engelmannii",2005,"San Isabel National Forest ",-105.0234964,37.8900661,3618,64,25,9.94,36,2.252,"6/11/13"
"13754","SIF0611130855ES","Picea engelmannii",2006,"San Isabel National Forest ",-105.0234964,37.8900661,3618,64,25,10.39,37,1.912,"6/11/13"
"13755","SIF0611130855ES","Picea engelmannii",2007,"San Isabel National Forest ",-105.0234964,37.8900661,3618,64,25,10.77,38,2.272,"6/11/13"
"13756","SIF0611130855ES","Picea engelmannii",2008,"San Isabel National Forest ",-105.0234964,37.8900661,3618,64,25,11.22,39,2.43,"6/11/13"
"13757","SIF0611130855ES","Picea engelmannii",2009,"San Isabel National Forest ",-105.0234964,37.8900661,3618,64,25,11.71,40,2.469,"6/11/13"
"13758","SIF0611130855ES","Picea engelmannii",2010,"San Isabel National Forest ",-105.0234964,37.8900661,3618,64,25,12.2,41,2.133,"6/11/13"
"13759","SIF0611130855ES","Picea engelmannii",2011,"San Isabel National Forest ",-105.0234964,37.8900661,3618,64,25,12.63,42,1.893,"6/11/13"
"13760","SIF0611131012ES","Picea engelmannii",1992,"San Isabel National Forest ",-105.0202103,37.89246419,3586,159,30,11.09,22,2.27,"6/11/13"
"13761","SIF0611131012ES","Picea engelmannii",1993,"San Isabel National Forest ",-105.0202103,37.89246419,3586,159,30,11.54,23,2.349,"6/11/13"
"13762","SIF0611131012ES","Picea engelmannii",1994,"San Isabel National Forest ",-105.0202103,37.89246419,3586,159,30,12.01,24,2.083,"6/11/13"
"13763","SIF0611131012ES","Picea engelmannii",1995,"San Isabel National Forest ",-105.0202103,37.89246419,3586,159,30,12.43,25,1.54,"6/11/13"
"13764","SIF0611131012ES","Picea engelmannii",1996,"San Isabel National Forest ",-105.0202103,37.89246419,3586,159,30,12.74,26,1.107,"6/11/13"
"13765","SIF0611131012ES","Picea engelmannii",1997,"San Isabel National Forest ",-105.0202103,37.89246419,3586,159,30,12.96,27,1.47,"6/11/13"
"13766","SIF0611131012ES","Picea engelmannii",1998,"San Isabel National Forest ",-105.0202103,37.89246419,3586,159,30,13.25,28,1.681,"6/11/13"
"13767","SIF0611131012ES","Picea engelmannii",1999,"San Isabel National Forest ",-105.0202103,37.89246419,3586,159,30,13.59,29,1.684,"6/11/13"
"13768","SIF0611131012ES","Picea engelmannii",2000,"San Isabel National Forest ",-105.0202103,37.89246419,3586,159,30,13.92,30,1.936,"6/11/13"
"13769","SIF0611131012ES","Picea engelmannii",2001,"San Isabel National Forest ",-105.0202103,37.89246419,3586,159,30,14.31,31,1.94,"6/11/13"
"13770","SIF0611131012ES","Picea engelmannii",2002,"San Isabel National Forest ",-105.0202103,37.89246419,3586,159,30,14.7,32,1.821,"6/11/13"
"13771","SIF0611131012ES","Picea engelmannii",2003,"San Isabel National Forest ",-105.0202103,37.89246419,3586,159,30,15.06,33,1.357,"6/11/13"
"13772","SIF0611131012ES","Picea engelmannii",2004,"San Isabel National Forest ",-105.0202103,37.89246419,3586,159,30,15.33,34,1.516,"6/11/13"
"13773","SIF0611131012ES","Picea engelmannii",2005,"San Isabel National Forest ",-105.0202103,37.89246419,3586,159,30,15.64,35,1.971,"6/11/13"
"13774","SIF0611131012ES","Picea engelmannii",2006,"San Isabel National Forest ",-105.0202103,37.89246419,3586,159,30,16.03,36,2.192,"6/11/13"
"13775","SIF0611131012ES","Picea engelmannii",2007,"San Isabel National Forest ",-105.0202103,37.89246419,3586,159,30,16.47,37,2.752,"6/11/13"
"13776","SIF0611131012ES","Picea engelmannii",2008,"San Isabel National Forest ",-105.0202103,37.89246419,3586,159,30,17.02,38,1.976,"6/11/13"
"13777","SIF0611131012ES","Picea engelmannii",2009,"San Isabel National Forest ",-105.0202103,37.89246419,3586,159,30,17.42,39,1.687,"6/11/13"
"13778","SIF0611131012ES","Picea engelmannii",2010,"San Isabel National Forest ",-105.0202103,37.89246419,3586,159,30,17.75,40,1.828,"6/11/13"
"13779","SIF0611131012ES","Picea engelmannii",2011,"San Isabel National Forest ",-105.0202103,37.89246419,3586,159,30,18.12,41,1.621,"6/11/13"
"13780","SIF0611131028ES","Picea engelmannii",1992,"San Isabel National Forest ",-105.0330346,37.88184389,3355,215,55,34.9,102,1.214,"6/11/13"
"13781","SIF0611131028ES","Picea engelmannii",1993,"San Isabel National Forest ",-105.0330346,37.88184389,3355,215,55,35.15,103,1.436,"6/11/13"
"13782","SIF0611131028ES","Picea engelmannii",1994,"San Isabel National Forest ",-105.0330346,37.88184389,3355,215,55,35.43,104,1.494,"6/11/13"
"13783","SIF0611131028ES","Picea engelmannii",1995,"San Isabel National Forest ",-105.0330346,37.88184389,3355,215,55,35.73,105,1.438,"6/11/13"
"13784","SIF0611131028ES","Picea engelmannii",1996,"San Isabel National Forest ",-105.0330346,37.88184389,3355,215,55,36.02,106,1.556,"6/11/13"
"13785","SIF0611131028ES","Picea engelmannii",1997,"San Isabel National Forest ",-105.0330346,37.88184389,3355,215,55,36.33,107,1.291,"6/11/13"
"13786","SIF0611131028ES","Picea engelmannii",1998,"San Isabel National Forest ",-105.0330346,37.88184389,3355,215,55,36.59,108,1.444,"6/11/13"
"13787","SIF0611131028ES","Picea engelmannii",1999,"San Isabel National Forest ",-105.0330346,37.88184389,3355,215,55,36.88,109,1.369,"6/11/13"
"13788","SIF0611131028ES","Picea engelmannii",2000,"San Isabel National Forest ",-105.0330346,37.88184389,3355,215,55,37.15,110,1.353,"6/11/13"
"13789","SIF0611131028ES","Picea engelmannii",2001,"San Isabel National Forest ",-105.0330346,37.88184389,3355,215,55,37.42,111,1.204,"6/11/13"
"13790","SIF0611131028ES","Picea engelmannii",2002,"San Isabel National Forest ",-105.0330346,37.88184389,3355,215,55,37.66,112,0.307,"6/11/13"
"13791","SIF0611131028ES","Picea engelmannii",2003,"San Isabel National Forest ",-105.0330346,37.88184389,3355,215,55,37.72,113,0.63,"6/11/13"
"13792","SIF0611131028ES","Picea engelmannii",2004,"San Isabel National Forest ",-105.0330346,37.88184389,3355,215,55,37.85,114,0.535,"6/11/13"
"13793","SIF0611131028ES","Picea engelmannii",2005,"San Isabel National Forest ",-105.0330346,37.88184389,3355,215,55,37.96,115,0.552,"6/11/13"
"13794","SIF0611131028ES","Picea engelmannii",2006,"San Isabel National Forest ",-105.0330346,37.88184389,3355,215,55,38.07,116,0.464,"6/11/13"
"13795","SIF0611131028ES","Picea engelmannii",2007,"San Isabel National Forest ",-105.0330346,37.88184389,3355,215,55,38.16,117,0.89,"6/11/13"
"13796","SIF0611131028ES","Picea engelmannii",2008,"San Isabel National Forest ",-105.0330346,37.88184389,3355,215,55,38.34,118,0.891,"6/11/13"
"13797","SIF0611131028ES","Picea engelmannii",2009,"San Isabel National Forest ",-105.0330346,37.88184389,3355,215,55,38.52,119,0.765,"6/11/13"
"13798","SIF0611131028ES","Picea engelmannii",2010,"San Isabel National Forest ",-105.0330346,37.88184389,3355,215,55,38.67,120,0.857,"6/11/13"
