Year	Tree Name	Tree location	Tree Ring Widths (mm)	"Temperature (ºC, Growing Season: May, June, July, Aug)"	"Precipitation (mm, Growing Season: May, June, July, Aug)"
1949	tfis10	burned upland	1.64	11.51	113.81
1948	tfis10	burned upland	1.84	11.81	148.52
1947	tfis10	burned upland	2.07	12.43	68.26
1946	tfis10	burned upland	2.02	13.29	86.71
1945	tfis10	burned upland	1.93	11.22	141.16
1944	tfis10	burned upland	1.77	12.90	97.81
1943	tfis10	burned upland	1.74	12.56	72.26
1942	tfis10	burned upland	1.48	14.31	144.77
1941	tfis10	burned upland	1.43	13.65	76.90
1940	tfis10	burned upland	1.37	14.03	95.10
1939	tfis10	burned upland	1.52	12.82	101.29
1938	tfis10	burned upland	1.35	12.61	84.13
1937	tfis10	burned upland	1.31	12.44	85.29
1936	tfis10	burned upland	1.17	14.08	69.55
1935	tfis10	burned upland	1.17	11.36	91.74
1934	tfis10	burned upland	1.03	12.14	88.90
1933	tfis10	burned upland	1.05	11.68	81.94
1932	tfis10	burned upland	0.99	11.68	114.84
1931	tfis10	burned upland	0.97	11.22	104.90
1930	tfis10	burned upland	0.86	12.79	174.97
1929	tfis10	burned upland	0.75	12.85	111.48
1928	tfis10	burned upland	0.71	12.72	64.13
1927	tfis10	burned upland	0.70	13.51	50.71
1926	tfis10	burned upland	0.67	14.08	99.10
1925	tfis10	burned upland	0.67	13.00	115.23
1924	tfis10	burned upland	0.69	12.46	101.55
1923	tfis10	burned upland	0.71	14.18	72.65
1922	tfis10	burned upland	0.66	10.40	113.68
1921	tfis10	burned upland	0.66	13.56	66.06
1920	tfis10	burned upland	0.67	12.49	64.26
1919	tfis10	burned upland	0.69	13.22	107.10
1918	tfis10	burned upland	0.61	12.10	74.06
1917	tfis10	burned upland	0.60	12.43	94.32
1916	tfis10	burned upland	0.54	13.04	123.35
1915	tfis10	burned upland	0.51	14.88	126.84
1914	tfis10	burned upland	0.43	12.81	90.58
1913	tfis10	burned upland	0.39	14.35	95.10
1912	tfis10	burned upland	0.37	13.07	95.61
1911	tfis10	burned upland	0.35	12.88	84.64
1910	tfis10	burned upland	0.27	12.93	85.29
1909	tfis10	burned upland	0.24	12.64	77.94
2000	tfis11	burned upland	0.26	12.36	93.81
1999	tfis11	burned upland	0.23	14.05	95.48
1998	tfis11	burned upland	0.19	13.40	122.06
1997	tfis11	burned upland	0.21	14.96	56.26
1996	tfis11	burned upland	0.24	13.53	85.94
1995	tfis11	burned upland	0.27	14.81	95.35
1994	tfis11	burned upland	0.27	14.76	73.94
1993	tfis11	burned upland	0.31	15.19	82.97
1992	tfis11	burned upland	0.35	13.11	98.45
1991	tfis11	burned upland	0.35	14.17	46.58
1990	tfis11	burned upland	0.34	15.83	159.23
1989	tfis11	burned upland	0.38	14.67	76.52
1988	tfis11	burned upland	0.37	15.54	96.39
1987	tfis11	burned upland	0.35	14.85	52.39
1986	tfis11	burned upland	0.33	13.99	84.39
1985	tfis11	burned upland	0.34	13.35	100.77
1984	tfis11	burned upland	0.32	13.22	77.03
1983	tfis11	burned upland	0.30	14.21	86.06
1982	tfis11	burned upland	0.31	13.47	99.23
1981	tfis11	burned upland	0.32	12.82	92.90
1980	tfis11	burned upland	0.34	13.01	70.97
1979	tfis11	burned upland	0.36	14.01	82.19
1978	tfis11	burned upland	0.38	13.85	71.74
1977	tfis11	burned upland	0.37	14.68	117.94
1976	tfis11	burned upland	0.39	13.92	69.16
1975	tfis11	burned upland	0.40	15.74	72.13
1974	tfis11	burned upland	0.40	14.54	53.03
1973	tfis11	burned upland	0.42	13.88	80.77
1972	tfis11	burned upland	0.45	14.17	60.65
1971	tfis11	burned upland	0.47	13.85	94.45
1970	tfis11	burned upland	0.46	14.04	95.87
1969	tfis11	burned upland	0.46	13.26	64.39
1968	tfis11	burned upland	0.42	14.33	53.42
1967	tfis11	burned upland	0.40	13.54	146.45
1966	tfis11	burned upland	0.39	13.93	27.61
1965	tfis11	burned upland	0.38	11.51	81.03
1964	tfis11	burned upland	0.39	12.07	87.74
1963	tfis11	burned upland	0.40	12.40	93.68
1962	tfis11	burned upland	0.44	13.47	162.84
1961	tfis11	burned upland	0.46	13.13	106.71
1960	tfis11	burned upland	0.49	13.64	92.00
1959	tfis11	burned upland	0.57	12.58	99.87
1958	tfis11	burned upland	0.64	14.14	52.52
1957	tfis11	burned upland	0.79	14.47	20.00
1956	tfis11	burned upland	0.91	13.18	92.90
1955	tfis11	burned upland	1.08	12.19	142.97
1954	tfis11	burned upland	1.15	13.28	101.03
1953	tfis11	burned upland	1.27	14.35	105.16
1952	tfis11	burned upland	1.24	11.93	80.00
1951	tfis11	burned upland	1.27	13.38	78.84
1950	tfis11	burned upland	1.19	13.60	69.16
1949	tfis11	burned upland	1.17	11.51	113.81
1948	tfis11	burned upland	1.09	11.81	148.52
1947	tfis11	burned upland	1.06	12.43	68.26
1946	tfis11	burned upland	1.08	13.29	86.71
1945	tfis11	burned upland	1.14	11.22	141.16
1944	tfis11	burned upland	1.16	12.90	97.81
1943	tfis11	burned upland	1.20	12.56	72.26
1942	tfis11	burned upland	1.27	14.31	144.77
1941	tfis11	burned upland	1.33	13.65	76.90
1940	tfis11	burned upland	1.35	14.03	95.10
1939	tfis11	burned upland	1.39	12.82	101.29
1938	tfis11	burned upland	1.45	12.61	84.13
1937	tfis11	burned upland	1.43	12.44	85.29
1936	tfis11	burned upland	1.45	14.08	69.55
1935	tfis11	burned upland	1.44	11.36	91.74
1934	tfis11	burned upland	1.42	12.14	88.90
1933	tfis11	burned upland	1.40	11.68	81.94
1932	tfis11	burned upland	1.49	11.68	114.84
1931	tfis11	burned upland	1.40	11.22	104.90
1930	tfis11	burned upland	1.64	12.79	174.97
1929	tfis11	burned upland	1.82	12.85	111.48
1928	tfis11	burned upland	1.91	12.72	64.13
1927	tfis11	burned upland	1.97	13.51	50.71
1926	tfis11	burned upland	2.08	14.08	99.10
1925	tfis11	burned upland	2.09	13.00	115.23
1924	tfis11	burned upland	2.07	12.46	101.55
1923	tfis11	burned upland	2.22	14.18	72.65
1922	tfis11	burned upland	2.31	10.40	113.68
1921	tfis11	burned upland	2.32	13.56	66.06
1920	tfis11	burned upland	2.16	12.49	64.26
1919	tfis11	burned upland	2.13	13.22	107.10
1918	tfis11	burned upland	2.04	12.10	74.06
1917	tfis11	burned upland	2.01	12.43	94.32
1916	tfis11	burned upland	2.06	13.04	123.35
1915	tfis11	burned upland	2.22	14.88	126.84
1914	tfis11	burned upland	2.42	12.81	90.58
1913	tfis11	burned upland	2.58	14.35	95.10
1912	tfis11	burned upland	2.73	13.07	95.61
1911	tfis11	burned upland	2.76	12.88	84.64
1910	tfis11	burned upland	2.66	12.93	85.29
1909	tfis11	burned upland	2.41	12.64	77.94
1908	tfis11	burned upland	2.13	-9999.00	-9999.00
1907	tfis11	burned upland	1.96	-9999.00	-9999.00
1906	tfis11	burned upland	1.92	-9999.00	-9999.00
1905	tfis11	burned upland	1.94	-9999.00	-9999.00
1904	tfis11	burned upland	2.07	-9999.00	-9999.00
1903	tfis11	burned upland	2.17	-9999.00	-9999.00
1902	tfis11	burned upland	2.14	-9999.00	-9999.00
1901	tfis11	burned upland	2.06	-9999.00	-9999.00
1900	tfis11	burned upland	1.94	-9999.00	-9999.00
1899	tfis11	burned upland	1.80	-9999.00	-9999.00
1898	tfis11	burned upland	1.77	-9999.00	-9999.00
1897	tfis11	burned upland	1.63	-9999.00	-9999.00
1896	tfis11	burned upland	1.50	-9999.00	-9999.00
1895	tfis11	burned upland	1.34	-9999.00	-9999.00
1894	tfis11	burned upland	1.15	-9999.00	-9999.00
1893	tfis11	burned upland	0.91	-9999.00	-9999.00
1892	tfis11	burned upland	0.78	-9999.00	-9999.00
1891	tfis11	burned upland	0.86	-9999.00	-9999.00
1890	tfis11	burned upland	0.99	-9999.00	-9999.00
1889	tfis11	burned upland	0.96	-9999.00	-9999.00
1888	tfis11	burned upland	0.95	-9999.00	-9999.00
1887	tfis11	burned upland	0.94	-9999.00	-9999.00
1886	tfis11	burned upland	0.80	-9999.00	-9999.00
1885	tfis11	burned upland	0.82	-9999.00	-9999.00
1884	tfis11	burned upland	1.16	-9999.00	-9999.00
1883	tfis11	burned upland	1.40	-9999.00	-9999.00
1882	tfis11	burned upland	1.60	-9999.00	-9999.00
1881	tfis11	burned upland	1.74	-9999.00	-9999.00
1880	tfis11	burned upland	1.68	-9999.00	-9999.00
1879	tfis11	burned upland	1.50	-9999.00	-9999.00
1878	tfis11	burned upland	1.40	-9999.00	-9999.00
1877	tfis11	burned upland	1.32	-9999.00	-9999.00
1876	tfis11	burned upland	1.29	-9999.00	-9999.00
1875	tfis11	burned upland	1.32	-9999.00	-9999.00
1874	tfis11	burned upland	1.29	-9999.00	-9999.00
1873	tfis11	burned upland	1.27	-9999.00	-9999.00
1872	tfis11	burned upland	1.25	-9999.00	-9999.00
1871	tfis11	burned upland	1.21	-9999.00	-9999.00
1870	tfis11	burned upland	1.07	-9999.00	-9999.00
1869	tfis11	burned upland	0.96	-9999.00	-9999.00
1868	tfis11	burned upland	0.77	-9999.00	-9999.00
1867	tfis11	burned upland	0.59	-9999.00	-9999.00
1866	tfis11	burned upland	0.43	-9999.00	-9999.00
1865	tfis11	burned upland	0.32	-9999.00	-9999.00
1864	tfis11	burned upland	0.24	-9999.00	-9999.00
1863	tfis11	burned upland	0.25	-9999.00	-9999.00
1862	tfis11	burned upland	0.30	-9999.00	-9999.00
1861	tfis11	burned upland	0.34	-9999.00	-9999.00
1860	tfis11	burned upland	0.38	-9999.00	-9999.00
1859	tfis11	burned upland	0.42	-9999.00	-9999.00
1858	tfis11	burned upland	0.43	-9999.00	-9999.00
1857	tfis11	burned upland	0.43	-9999.00	-9999.00
1856	tfis11	burned upland	0.37	-9999.00	-9999.00
1855	tfis11	burned upland	0.31	-9999.00	-9999.00
1854	tfis11	burned upland	0.26	-9999.00	-9999.00
1853	tfis11	burned upland	0.21	-9999.00	-9999.00
1852	tfis11	burned upland	0.15	-9999.00	-9999.00
1851	tfis11	burned upland	0.14	-9999.00	-9999.00
1850	tfis11	burned upland	0.14	-9999.00	-9999.00
1849	tfis11	burned upland	0.13	-9999.00	-9999.00
1848	tfis11	burned upland	0.14	-9999.00	-9999.00
1847	tfis11	burned upland	0.13	-9999.00	-9999.00
1846	tfis11	burned upland	0.13	-9999.00	-9999.00
1845	tfis11	burned upland	0.14	-9999.00	-9999.00
1844	tfis11	burned upland	0.16	-9999.00	-9999.00
1843	tfis11	burned upland	0.19	-9999.00	-9999.00
1842	tfis11	burned upland	0.23	-9999.00	-9999.00
1841	tfis11	burned upland	0.33	-9999.00	-9999.00
1840	tfis11	burned upland	0.42	-9999.00	-9999.00
1839	tfis11	burned upland	0.59	-9999.00	-9999.00
1838	tfis11	burned upland	0.69	-9999.00	-9999.00
1837	tfis11	burned upland	0.80	-9999.00	-9999.00
1836	tfis11	burned upland	0.80	-9999.00	-9999.00
1835	tfis11	burned upland	0.77	-9999.00	-9999.00
1834	tfis11	burned upland	0.68	-9999.00	-9999.00
1833	tfis11	burned upland	0.65	-9999.00	-9999.00
1832	tfis11	burned upland	0.58	-9999.00	-9999.00
1831	tfis11	burned upland	0.55	-9999.00	-9999.00
1830	tfis11	burned upland	0.65	-9999.00	-9999.00
2000	tfis12	burned upland	0.26	12.36	93.81
1999	tfis12	burned upland	0.28	14.05	95.48
1998	tfis12	burned upland	0.31	13.40	122.06
1997	tfis12	burned upland	0.34	14.96	56.26
1996	tfis12	burned upland	0.38	13.53	85.94
1995	tfis12	burned upland	0.39	14.81	95.35
1994	tfis12	burned upland	0.38	14.76	73.94
1993	tfis12	burned upland	0.38	15.19	82.97
1992	tfis12	burned upland	0.35	13.11	98.45
1991	tfis12	burned upland	0.34	14.17	46.58
1990	tfis12	burned upland	0.35	15.83	159.23
1989	tfis12	burned upland	0.38	14.67	76.52
1988	tfis12	burned upland	0.41	15.54	96.39
1987	tfis12	burned upland	0.46	14.85	52.39
1986	tfis12	burned upland	0.46	13.99	84.39
1985	tfis12	burned upland	0.44	13.35	100.77
1984	tfis12	burned upland	0.43	13.22	77.03
1983	tfis12	burned upland	0.43	14.21	86.06
1982	tfis12	burned upland	0.42	13.47	99.23
1981	tfis12	burned upland	0.40	12.82	92.90
1980	tfis12	burned upland	0.40	13.01	70.97
1979	tfis12	burned upland	0.42	14.01	82.19
1978	tfis12	burned upland	0.44	13.85	71.74
1977	tfis12	burned upland	0.51	14.68	117.94
1976	tfis12	burned upland	0.65	13.92	69.16
1975	tfis12	burned upland	0.71	15.74	72.13
1974	tfis12	burned upland	0.74	14.54	53.03
1973	tfis12	burned upland	0.73	13.88	80.77
1972	tfis12	burned upland	0.70	14.17	60.65
1971	tfis12	burned upland	0.65	13.85	94.45
1970	tfis12	burned upland	0.71	14.04	95.87
1969	tfis12	burned upland	0.80	13.26	64.39
1968	tfis12	burned upland	0.87	14.33	53.42
1967	tfis12	burned upland	0.96	13.54	146.45
1966	tfis12	burned upland	0.97	13.93	27.61
1965	tfis12	burned upland	0.97	11.51	81.03
1964	tfis12	burned upland	0.88	12.07	87.74
1963	tfis12	burned upland	0.84	12.40	93.68
1962	tfis12	burned upland	0.81	13.47	162.84
1961	tfis12	burned upland	0.81	13.13	106.71
1960	tfis12	burned upland	0.81	13.64	92.00
1959	tfis12	burned upland	0.90	12.58	99.87
1958	tfis12	burned upland	1.04	14.14	52.52
1957	tfis12	burned upland	1.07	14.47	20.00
1956	tfis12	burned upland	1.19	13.18	92.90
1955	tfis12	burned upland	1.33	12.19	142.97
1954	tfis12	burned upland	1.45	13.28	101.03
1953	tfis12	burned upland	1.56	14.35	105.16
1952	tfis12	burned upland	1.68	11.93	80.00
1951	tfis12	burned upland	1.69	13.38	78.84
1950	tfis12	burned upland	1.64	13.60	69.16
1949	tfis12	burned upland	1.64	11.51	113.81
1948	tfis12	burned upland	1.52	11.81	148.52
1947	tfis12	burned upland	1.44	12.43	68.26
1946	tfis12	burned upland	1.39	13.29	86.71
1945	tfis12	burned upland	1.43	11.22	141.16
1944	tfis12	burned upland	1.33	12.90	97.81
1943	tfis12	burned upland	1.37	12.56	72.26
1942	tfis12	burned upland	1.55	14.31	144.77
1941	tfis12	burned upland	1.85	13.65	76.90
1940	tfis12	burned upland	1.94	14.03	95.10
1939	tfis12	burned upland	2.11	12.82	101.29
1938	tfis12	burned upland	2.17	12.61	84.13
1937	tfis12	burned upland	2.09	12.44	85.29
1936	tfis12	burned upland	1.90	14.08	69.55
1935	tfis12	burned upland	1.76	11.36	91.74
1934	tfis12	burned upland	1.56	12.14	88.90
1933	tfis12	burned upland	1.52	11.68	81.94
1932	tfis12	burned upland	1.48	11.68	114.84
1931	tfis12	burned upland	1.38	11.22	104.90
1930	tfis12	burned upland	1.31	12.79	174.97
1929	tfis12	burned upland	1.53	12.85	111.48
1928	tfis12	burned upland	1.49	12.72	64.13
1927	tfis12	burned upland	1.54	13.51	50.71
1926	tfis12	burned upland	1.67	14.08	99.10
1925	tfis12	burned upland	1.73	13.00	115.23
1924	tfis12	burned upland	1.73	12.46	101.55
1923	tfis12	burned upland	1.77	14.18	72.65
1922	tfis12	burned upland	1.77	10.40	113.68
1921	tfis12	burned upland	1.73	13.56	66.06
1920	tfis12	burned upland	1.77	12.49	64.26
1919	tfis12	burned upland	1.64	13.22	107.10
1918	tfis12	burned upland	1.58	12.10	74.06
1917	tfis12	burned upland	1.48	12.43	94.32
1916	tfis12	burned upland	1.37	13.04	123.35
1915	tfis12	burned upland	1.30	14.88	126.84
1914	tfis12	burned upland	1.32	12.81	90.58
1913	tfis12	burned upland	1.34	14.35	95.10
1912	tfis12	burned upland	1.47	13.07	95.61
1911	tfis12	burned upland	1.53	12.88	84.64
1910	tfis12	burned upland	1.59	12.93	85.29
1909	tfis12	burned upland	1.56	12.64	77.94
1908	tfis12	burned upland	1.56	-9999.00	-9999.00
1907	tfis12	burned upland	1.48	-9999.00	-9999.00
1906	tfis12	burned upland	1.44	-9999.00	-9999.00
1905	tfis12	burned upland	1.38	-9999.00	-9999.00
1904	tfis12	burned upland	1.36	-9999.00	-9999.00
1903	tfis12	burned upland	1.31	-9999.00	-9999.00
1902	tfis12	burned upland	1.26	-9999.00	-9999.00
1901	tfis12	burned upland	1.31	-9999.00	-9999.00
1900	tfis12	burned upland	1.32	-9999.00	-9999.00
1899	tfis12	burned upland	1.37	-9999.00	-9999.00
1898	tfis12	burned upland	1.43	-9999.00	-9999.00
1897	tfis12	burned upland	1.51	-9999.00	-9999.00
1896	tfis12	burned upland	1.44	-9999.00	-9999.00
1895	tfis12	burned upland	1.48	-9999.00	-9999.00
1894	tfis12	burned upland	1.51	-9999.00	-9999.00
1893	tfis12	burned upland	1.43	-9999.00	-9999.00
1892	tfis12	burned upland	1.31	-9999.00	-9999.00
1891	tfis12	burned upland	1.25	-9999.00	-9999.00
1890	tfis12	burned upland	1.15	-9999.00	-9999.00
1889	tfis12	burned upland	0.99	-9999.00	-9999.00
1888	tfis12	burned upland	1.00	-9999.00	-9999.00
1887	tfis12	burned upland	0.98	-9999.00	-9999.00
1886	tfis12	burned upland	0.94	-9999.00	-9999.00
1885	tfis12	burned upland	0.87	-9999.00	-9999.00
1884	tfis12	burned upland	0.83	-9999.00	-9999.00
1883	tfis12	burned upland	0.71	-9999.00	-9999.00
1882	tfis12	burned upland	0.62	-9999.00	-9999.00
1881	tfis12	burned upland	0.57	-9999.00	-9999.00
1880	tfis12	burned upland	0.53	-9999.00	-9999.00
1879	tfis12	burned upland	0.49	-9999.00	-9999.00
1878	tfis12	burned upland	0.44	-9999.00	-9999.00
1877	tfis12	burned upland	0.41	-9999.00	-9999.00
1876	tfis12	burned upland	0.41	-9999.00	-9999.00
1875	tfis12	burned upland	0.41	-9999.00	-9999.00
1874	tfis12	burned upland	0.40	-9999.00	-9999.00
1873	tfis12	burned upland	0.42	-9999.00	-9999.00
1872	tfis12	burned upland	0.47	-9999.00	-9999.00
1871	tfis12	burned upland	0.56	-9999.00	-9999.00
1870	tfis12	burned upland	0.63	-9999.00	-9999.00
1869	tfis12	burned upland	0.74	-9999.00	-9999.00
1868	tfis12	burned upland	0.81	-9999.00	-9999.00
1867	tfis12	burned upland	0.85	-9999.00	-9999.00
1866	tfis12	burned upland	0.84	-9999.00	-9999.00
1865	tfis12	burned upland	0.84	-9999.00	-9999.00
1864	tfis12	burned upland	0.78	-9999.00	-9999.00
1863	tfis12	burned upland	0.73	-9999.00	-9999.00
1862	tfis12	burned upland	0.71	-9999.00	-9999.00
1861	tfis12	burned upland	0.70	-9999.00	-9999.00
1860	tfis12	burned upland	0.70	-9999.00	-9999.00
1859	tfis12	burned upland	0.69	-9999.00	-9999.00
1858	tfis12	burned upland	0.73	-9999.00	-9999.00
1857	tfis12	burned upland	0.71	-9999.00	-9999.00
1856	tfis12	burned upland	0.65	-9999.00	-9999.00
1855	tfis12	burned upland	0.61	-9999.00	-9999.00
1854	tfis12	burned upland	0.59	-9999.00	-9999.00
1853	tfis12	burned upland	0.48	-9999.00	-9999.00
1852	tfis12	burned upland	0.46	-9999.00	-9999.00
1851	tfis12	burned upland	0.45	-9999.00	-9999.00
1850	tfis12	burned upland	0.47	-9999.00	-9999.00
1849	tfis12	burned upland	0.46	-9999.00	-9999.00
1848	tfis12	burned upland	0.55	-9999.00	-9999.00
1847	tfis12	burned upland	0.55	-9999.00	-9999.00
1846	tfis12	burned upland	0.60	-9999.00	-9999.00
1845	tfis12	burned upland	0.62	-9999.00	-9999.00
1844	tfis12	burned upland	0.66	-9999.00	-9999.00
1843	tfis12	burned upland	0.69	-9999.00	-9999.00
1842	tfis12	burned upland	0.73	-9999.00	-9999.00
1841	tfis12	burned upland	0.74	-9999.00	-9999.00
1840	tfis12	burned upland	0.74	-9999.00	-9999.00
1839	tfis12	burned upland	0.73	-9999.00	-9999.00
1838	tfis12	burned upland	0.78	-9999.00	-9999.00
1837	tfis12	burned upland	0.83	-9999.00	-9999.00
1836	tfis12	burned upland	0.88	-9999.00	-9999.00
1835	tfis12	burned upland	0.93	-9999.00	-9999.00
1834	tfis12	burned upland	1.15	-9999.00	-9999.00
1833	tfis12	burned upland	1.11	-9999.00	-9999.00
1832	tfis12	burned upland	1.21	-9999.00	-9999.00
1831	tfis12	burned upland	1.12	-9999.00	-9999.00
1830	tfis12	burned upland	1.04	-9999.00	-9999.00
1829	tfis12	burned upland	0.95	-9999.00	-9999.00
1828	tfis12	burned upland	0.98	-9999.00	-9999.00
1827	tfis12	burned upland	0.96	-9999.00	-9999.00
1826	tfis12	burned upland	0.99	-9999.00	-9999.00
1825	tfis12	burned upland	1.09	-9999.00	-9999.00
1824	tfis12	burned upland	1.08	-9999.00	-9999.00
1823	tfis12	burned upland	1.29	-9999.00	-9999.00
1822	tfis12	burned upland	1.30	-9999.00	-9999.00
1821	tfis12	burned upland	1.47	-9999.00	-9999.00
1820	tfis12	burned upland	1.66	-9999.00	-9999.00
1819	tfis12	burned upland	2.10	-9999.00	-9999.00
2000	tfis13	burned upland	0.41	12.36	93.81
1999	tfis13	burned upland	0.39	14.05	95.48
1998	tfis13	burned upland	0.44	13.40	122.06
1997	tfis13	burned upland	0.44	14.96	56.26
1996	tfis13	burned upland	0.48	13.53	85.94
1995	tfis13	burned upland	0.48	14.81	95.35
1994	tfis13	burned upland	0.50	14.76	73.94
1993	tfis13	burned upland	0.47	15.19	82.97
1992	tfis13	burned upland	0.47	13.11	98.45
1991	tfis13	burned upland	0.45	14.17	46.58
1990	tfis13	burned upland	0.47	15.83	159.23
1989	tfis13	burned upland	0.54	14.67	76.52
1988	tfis13	burned upland	0.55	15.54	96.39
1987	tfis13	burned upland	0.60	14.85	52.39
1986	tfis13	burned upland	0.67	13.99	84.39
1985	tfis13	burned upland	0.64	13.35	100.77
1984	tfis13	burned upland	0.58	13.22	77.03
1983	tfis13	burned upland	0.60	14.21	86.06
1982	tfis13	burned upland	0.61	13.47	99.23
1981	tfis13	burned upland	0.59	12.82	92.90
1980	tfis13	burned upland	0.62	13.01	70.97
1979	tfis13	burned upland	0.65	14.01	82.19
1978	tfis13	burned upland	0.73	13.85	71.74
1977	tfis13	burned upland	0.79	14.68	117.94
1976	tfis13	burned upland	0.82	13.92	69.16
1975	tfis13	burned upland	0.82	15.74	72.13
1974	tfis13	burned upland	0.85	14.54	53.03
1973	tfis13	burned upland	0.78	13.88	80.77
1972	tfis13	burned upland	0.79	14.17	60.65
1971	tfis13	burned upland	0.84	13.85	94.45
1970	tfis13	burned upland	0.93	14.04	95.87
1969	tfis13	burned upland	1.04	13.26	64.39
1968	tfis13	burned upland	1.20	14.33	53.42
1967	tfis13	burned upland	1.23	13.54	146.45
1966	tfis13	burned upland	1.32	13.93	27.61
1965	tfis13	burned upland	1.34	11.51	81.03
1964	tfis13	burned upland	1.38	12.07	87.74
1963	tfis13	burned upland	1.33	12.40	93.68
1962	tfis13	burned upland	1.27	13.47	162.84
1961	tfis13	burned upland	1.25	13.13	106.71
1960	tfis13	burned upland	1.35	13.64	92.00
1959	tfis13	burned upland	1.31	12.58	99.87
1958	tfis13	burned upland	1.33	14.14	52.52
1957	tfis13	burned upland	1.38	14.47	20.00
1956	tfis13	burned upland	1.48	13.18	92.90
1955	tfis13	burned upland	1.39	12.19	142.97
1954	tfis13	burned upland	1.53	13.28	101.03
1953	tfis13	burned upland	1.67	14.35	105.16
1952	tfis13	burned upland	1.84	11.93	80.00
1951	tfis13	burned upland	1.76	13.38	78.84
1950	tfis13	burned upland	1.99	13.60	69.16
1949	tfis13	burned upland	1.96	11.51	113.81
1948	tfis13	burned upland	1.99	11.81	148.52
1947	tfis13	burned upland	2.06	12.43	68.26
1946	tfis13	burned upland	2.21	13.29	86.71
1945	tfis13	burned upland	2.06	11.22	141.16
1944	tfis13	burned upland	2.08	12.90	97.81
1943	tfis13	burned upland	2.07	12.56	72.26
1942	tfis13	burned upland	1.93	14.31	144.77
1941	tfis13	burned upland	1.87	13.65	76.90
1940	tfis13	burned upland	1.93	14.03	95.10
1939	tfis13	burned upland	2.01	12.82	101.29
1938	tfis13	burned upland	1.90	12.61	84.13
1937	tfis13	burned upland	1.92	12.44	85.29
1936	tfis13	burned upland	2.03	14.08	69.55
1935	tfis13	burned upland	1.89	11.36	91.74
1934	tfis13	burned upland	1.57	12.14	88.90
1933	tfis13	burned upland	1.45	11.68	81.94
1932	tfis13	burned upland	1.25	11.68	114.84
1931	tfis13	burned upland	0.89	11.22	104.90
1930	tfis13	burned upland	0.76	12.79	174.97
1929	tfis13	burned upland	0.66	12.85	111.48
1928	tfis13	burned upland	0.52	12.72	64.13
1927	tfis13	burned upland	0.47	13.51	50.71
1926	tfis13	burned upland	0.47	14.08	99.10
1925	tfis13	burned upland	0.43	13.00	115.23
1924	tfis13	burned upland	0.51	12.46	101.55
1923	tfis13	burned upland	0.57	14.18	72.65
1922	tfis13	burned upland	0.56	10.40	113.68
1921	tfis13	burned upland	0.48	13.56	66.06
1920	tfis13	burned upland	0.44	12.49	64.26
1919	tfis13	burned upland	0.33	13.22	107.10
1918	tfis13	burned upland	0.24	12.10	74.06
1917	tfis13	burned upland	0.25	12.43	94.32
1916	tfis13	burned upland	0.43	13.04	123.35
1915	tfis13	burned upland	0.61	14.88	126.84
1914	tfis13	burned upland	0.76	12.81	90.58
1913	tfis13	burned upland	0.92	14.35	95.10
1912	tfis13	burned upland	0.99	13.07	95.61
1911	tfis13	burned upland	1.01	12.88	84.64
1910	tfis13	burned upland	0.98	12.93	85.29
1909	tfis13	burned upland	0.94	12.64	77.94
1908	tfis13	burned upland	0.85	-9999.00	-9999.00
1907	tfis13	burned upland	0.75	-9999.00	-9999.00
1906	tfis13	burned upland	0.56	-9999.00	-9999.00
1905	tfis13	burned upland	0.49	-9999.00	-9999.00
1904	tfis13	burned upland	0.45	-9999.00	-9999.00
1903	tfis13	burned upland	0.42	-9999.00	-9999.00
1902	tfis13	burned upland	0.44	-9999.00	-9999.00
1901	tfis13	burned upland	0.47	-9999.00	-9999.00
1900	tfis13	burned upland	0.41	-9999.00	-9999.00
1899	tfis13	burned upland	0.36	-9999.00	-9999.00
2000	tfis14	burned upland	0.67	12.36	93.81
1999	tfis14	burned upland	0.62	14.05	95.48
1998	tfis14	burned upland	0.57	13.40	122.06
1997	tfis14	burned upland	0.57	14.96	56.26
1996	tfis14	burned upland	0.69	13.53	85.94
1995	tfis14	burned upland	0.80	14.81	95.35
1994	tfis14	burned upland	0.92	14.76	73.94
1993	tfis14	burned upland	1.02	15.19	82.97
1992	tfis14	burned upland	0.99	13.11	98.45
1991	tfis14	burned upland	0.90	14.17	46.58
1990	tfis14	burned upland	0.82	15.83	159.23
1989	tfis14	burned upland	0.75	14.67	76.52
1988	tfis14	burned upland	0.75	15.54	96.39
1987	tfis14	burned upland	0.81	14.85	52.39
1986	tfis14	burned upland	0.90	13.99	84.39
1985	tfis14	burned upland	1.00	13.35	100.77
1984	tfis14	burned upland	1.00	13.22	77.03
1983	tfis14	burned upland	0.97	14.21	86.06
1982	tfis14	burned upland	0.88	13.47	99.23
1981	tfis14	burned upland	0.81	12.82	92.90
1980	tfis14	burned upland	0.71	13.01	70.97
1979	tfis14	burned upland	0.74	14.01	82.19
1978	tfis14	burned upland	0.72	13.85	71.74
1977	tfis14	burned upland	0.79	14.68	117.94
1976	tfis14	burned upland	0.87	13.92	69.16
1975	tfis14	burned upland	0.95	15.74	72.13
1974	tfis14	burned upland	0.97	14.54	53.03
1973	tfis14	burned upland	0.99	13.88	80.77
1972	tfis14	burned upland	1.00	14.17	60.65
1971	tfis14	burned upland	1.00	13.85	94.45
1970	tfis14	burned upland	1.00	14.04	95.87
1969	tfis14	burned upland	1.08	13.26	64.39
